zone,day,hour,is_weekend,is_peak_hour,traffic,aqi,weather,fuel_consumption,power
Zone1,6,8,1,1,255,193,2,17.21,560
Zone1,6,9,1,1,273,201,1,18.43,534
Zone1,6,10,1,1,299,199,0,20.18,593
Zone1,6,11,1,0,178,149,0,12.02,497
Zone1,6,12,1,0,142,128,0,9.59,479
Zone1,6,13,1,0,180,117,2,12.15,472
Zone1,6,14,1,0,164,131,1,11.07,545
Zone1,6,15,1,0,145,122,2,9.79,500
Zone1,6,16,1,0,146,112,0,9.86,538
Zone1,6,17,1,1,530,361,0,35.78,721
Zone1,6,18,1,1,536,342,0,36.18,664
Zone1,6,19,1,1,506,327,2,34.16,724
Zone1,6,20,1,1,535,328,1,36.11,728
Zone1,6,21,1,0,122,89,1,8.24,494
Zone1,6,22,1,0,124,88,1,8.37,496
Zone1,6,23,1,0,177,124,0,11.95,521
Zone1,7,0,1,0,158,104,1,10.67,509
Zone1,7,1,1,0,161,118,1,10.87,528
Zone1,7,2,1,0,115,100,0,7.76,485
Zone1,7,3,1,0,141,120,0,9.52,468
Zone1,7,4,1,0,126,90,1,8.51,437
Zone1,7,5,1,0,137,103,1,9.25,488
Zone1,7,6,1,0,120,85,2,8.1,453
Zone1,7,7,1,1,311,228,1,20.99,604
Zone1,7,8,1,1,264,204,0,17.82,593
Zone1,7,9,1,1,267,175,1,18.02,594
Zone1,7,10,1,1,301,201,2,20.32,622
Zone1,7,11,1,0,127,91,2,8.57,507
Zone1,7,12,1,0,141,128,1,9.52,513
Zone1,7,13,1,0,118,95,1,7.97,435
Zone1,7,14,1,0,153,130,0,10.33,491
Zone1,7,15,1,0,133,112,0,8.98,491
Zone1,7,16,1,0,170,144,2,11.48,454
Zone1,7,17,1,1,527,349,0,35.57,735
Zone1,7,18,1,1,530,327,0,35.78,735
Zone1,7,19,1,1,497,327,0,33.55,718
Zone1,7,20,1,1,492,340,2,33.21,674
Zone1,7,21,1,0,152,121,1,10.26,520
Zone1,7,22,1,0,148,123,1,9.99,532
Zone1,7,23,1,0,123,81,0,8.3,512
Zone1,8,0,0,0,195,135,0,13.16,545
Zone1,8,1,0,0,163,129,1,11.0,541
Zone1,8,2,0,0,202,142,0,13.64,564
Zone1,8,3,0,0,192,134,2,12.96,538
Zone1,8,4,0,0,172,115,0,11.61,475
Zone1,8,5,0,0,215,143,2,14.51,509
Zone1,8,6,0,0,221,141,1,14.92,526
Zone1,8,7,0,1,353,226,1,23.83,630
Zone1,8,8,0,1,343,217,2,23.15,549
Zone1,8,9,0,1,343,252,2,23.15,612
Zone1,8,10,0,1,346,242,1,23.36,635
Zone1,8,11,0,0,205,139,2,13.84,546
Zone1,8,12,0,0,218,155,1,14.72,517
Zone1,8,13,0,0,164,145,0,11.07,518
Zone1,8,14,0,0,197,149,0,13.3,560
Zone1,8,15,0,0,180,152,0,12.15,484
Zone1,8,16,0,0,190,137,2,12.83,490
Zone1,8,17,0,1,544,372,2,36.72,672
Zone1,8,18,0,1,586,372,1,39.56,757
Zone1,8,19,0,1,535,328,2,36.11,688
Zone1,8,20,0,1,569,384,2,38.41,675
Zone1,8,21,0,0,213,156,0,14.38,540
Zone1,8,22,0,0,171,140,0,11.54,518
Zone1,8,23,0,0,216,170,1,14.58,493
Zone1,9,0,0,0,160,112,2,10.8,484
Zone1,9,1,0,0,199,135,2,13.43,529
Zone1,9,2,0,0,213,165,1,14.38,480
Zone1,9,3,0,0,222,173,0,14.99,510
Zone1,9,4,0,0,207,156,2,13.97,559
Zone1,9,5,0,0,187,140,1,12.62,501
Zone1,9,6,0,0,161,105,0,10.87,468
Zone1,9,7,0,1,355,238,1,23.96,643
Zone1,9,8,0,1,355,236,2,23.96,573
Zone1,9,9,0,1,301,201,2,20.32,622
Zone1,9,10,0,1,299,201,1,20.18,544
Zone1,9,11,0,0,213,140,0,14.38,509
Zone1,9,12,0,0,193,157,1,13.03,482
Zone1,9,13,0,0,219,163,0,14.78,489
Zone1,9,14,0,0,210,164,0,14.18,507
Zone1,9,15,0,0,178,145,0,12.02,508
Zone1,9,16,0,0,181,137,0,12.22,507
Zone1,9,17,0,1,545,345,0,36.79,714
Zone1,9,18,0,1,546,350,1,36.86,674
Zone1,9,19,0,1,599,400,1,40.43,711
Zone1,9,20,0,1,533,327,0,35.98,706
Zone1,9,21,0,0,199,166,2,13.43,561
Zone1,9,22,0,0,191,131,2,12.89,477
Zone1,9,23,0,0,220,167,0,14.85,549
Zone1,10,0,0,0,193,132,0,13.03,529
Zone1,10,1,0,0,200,166,1,13.5,539
Zone1,10,2,0,0,165,130,0,11.14,468
Zone1,10,3,0,0,198,141,1,13.37,468
Zone1,10,4,0,0,162,115,2,10.94,487
Zone1,10,5,0,0,205,133,0,13.84,547
Zone1,10,6,0,0,167,124,2,11.27,513
Zone1,10,7,0,1,351,228,2,23.69,618
Zone1,10,8,0,1,299,191,1,20.18,556
Zone1,10,9,0,1,289,210,2,19.51,582
Zone1,10,10,0,1,306,196,2,20.66,542
Zone1,10,11,0,0,158,121,1,10.67,470
Zone1,10,12,0,0,222,172,1,14.99,536
Zone1,10,13,0,0,178,153,2,12.02,484
Zone1,10,14,0,0,217,153,0,14.65,504
Zone1,10,15,0,0,206,169,0,13.91,520
Zone1,10,16,0,0,211,155,0,14.24,572
Zone1,10,17,0,1,558,371,0,37.67,685
Zone1,10,18,0,1,600,371,0,40.5,703
Zone1,10,19,0,1,571,388,1,38.54,683
Zone1,10,20,0,1,567,354,0,38.27,749
Zone1,10,21,0,0,159,111,0,10.73,519
Zone1,10,22,0,0,209,169,2,14.11,536
Zone1,10,23,0,0,167,136,1,11.27,515
Zone1,11,0,0,0,199,138,2,13.43,510
Zone1,11,1,0,0,156,120,0,10.53,520
Zone1,11,2,0,0,179,134,2,12.08,522
Zone1,11,3,0,0,211,161,1,14.24,537
Zone1,11,4,0,0,217,143,0,14.65,480
Zone1,11,5,0,0,178,115,1,12.02,463
Zone1,11,6,0,0,161,115,2,10.87,448
Zone1,11,7,0,1,346,226,1,23.36,628
Zone1,11,8,0,1,309,232,0,20.86,596
Zone1,11,9,0,1,339,223,2,22.88,622
Zone1,11,10,0,1,308,192,1,20.79,583
Zone1,11,11,0,0,209,137,0,14.11,564
Zone1,11,12,0,0,162,116,2,10.94,482
Zone1,11,13,0,0,158,120,0,10.67,530
Zone1,11,14,0,0,196,139,1,13.23,505
Zone1,11,15,0,0,204,152,2,13.77,567
Zone1,11,16,0,0,190,122,0,12.83,502
Zone1,11,17,0,1,551,363,1,37.19,754
Zone1,11,18,0,1,599,400,1,40.43,693
Zone1,11,19,0,1,574,361,0,38.75,692
Zone1,11,20,0,1,599,402,2,40.43,783
Zone1,11,21,0,0,174,131,1,11.75,498
Zone1,11,22,0,0,185,120,0,12.49,506
Zone1,11,23,0,0,197,152,2,13.3,566
Zone1,12,0,0,0,219,152,1,14.78,522
Zone1,12,1,0,0,190,158,0,12.83,520
Zone1,12,2,0,0,171,128,0,11.54,487
Zone1,12,3,0,0,224,148,0,15.12,485
Zone1,12,4,0,0,182,151,1,12.29,484
Zone1,12,5,0,0,158,119,2,10.67,531
Zone1,12,6,0,0,177,136,0,11.95,477
Zone1,12,7,0,1,345,223,1,23.29,589
Zone1,12,8,0,1,347,237,1,23.42,574
Zone1,12,9,0,1,358,221,0,24.17,577
Zone1,12,10,0,1,296,201,2,19.98,551
Zone1,12,11,0,0,210,171,1,14.18,573
Zone1,12,12,0,0,170,129,1,11.48,484
Zone1,12,13,0,0,208,133,2,14.04,511
Zone1,12,14,0,0,174,144,1,11.75,507
Zone1,12,15,0,0,195,164,1,13.16,506
Zone1,12,16,0,0,207,152,0,13.97,501
Zone1,12,17,0,1,583,377,0,39.35,768
Zone1,12,18,0,1,594,398,1,40.1,727
Zone1,12,19,0,1,553,369,1,37.33,752
Zone1,12,20,0,1,582,356,2,39.29,721
Zone1,12,21,0,0,206,141,1,13.91,493
Zone1,12,22,0,0,207,162,1,13.97,479
Zone1,12,23,0,0,167,134,2,11.27,513
Zone1,13,0,1,0,170,127,0,11.48,539
Zone1,13,1,1,0,181,132,1,12.22,488
Zone1,13,2,1,0,180,146,1,12.15,504
Zone1,13,3,1,0,182,147,1,12.29,492
Zone1,13,4,1,0,165,131,0,11.14,503
Zone1,13,5,1,0,118,111,2,7.97,440
Zone1,13,6,1,0,176,147,0,11.88,545
Zone1,13,7,1,1,286,201,2,19.31,579
Zone1,13,8,1,1,300,192,0,20.25,565
Zone1,13,9,1,1,287,198,2,19.37,578
Zone1,13,10,1,1,310,195,1,20.93,626
Zone1,13,11,1,0,125,85,2,8.44,506
Zone1,13,12,1,0,128,90,1,8.64,470
Zone1,13,13,1,0,148,117,0,9.99,488
Zone1,13,14,1,0,163,140,2,11.0,456
Zone1,13,15,1,0,128,98,0,8.64,522
Zone1,13,16,1,0,123,93,1,8.3,457
Zone1,13,17,1,1,553,363,2,37.33,686
Zone1,13,18,1,1,509,323,0,34.36,700
Zone1,13,19,1,1,556,350,2,37.53,761
Zone1,13,20,1,1,558,375,2,37.67,711
Zone1,13,21,1,0,123,96,1,8.3,502
Zone1,13,22,1,0,180,136,2,12.15,470
Zone1,13,23,1,0,133,103,2,8.98,446
Zone1,14,0,1,0,173,125,1,11.68,522
Zone1,14,1,1,0,155,128,1,10.46,466
Zone1,14,2,1,0,141,105,0,9.52,449
Zone1,14,3,1,0,178,121,0,12.02,527
Zone1,14,4,1,0,152,117,1,10.26,472
Zone1,14,5,1,0,150,100,2,10.12,534
Zone1,14,6,1,0,121,100,1,8.17,485
Zone1,14,7,1,1,296,184,0,19.98,530
Zone1,14,8,1,1,312,229,1,21.06,547
Zone1,14,9,1,1,316,213,2,21.33,545
Zone1,14,10,1,1,262,197,2,17.69,599
Zone1,14,11,1,0,156,120,0,10.53,477
Zone1,14,12,1,0,148,133,0,9.99,515
Zone1,14,13,1,0,154,103,2,10.4,496
Zone1,14,14,1,0,138,98,1,9.32,517
Zone1,14,15,1,0,135,88,1,9.11,529
Zone1,14,16,1,0,163,112,0,11.0,490
Zone1,14,17,1,1,522,349,1,35.24,693
Zone1,14,18,1,1,502,324,2,33.89,706
Zone1,14,19,1,1,513,322,0,34.63,665
Zone1,14,20,1,1,522,333,1,35.24,704
Zone1,14,21,1,0,113,86,1,7.63,479
Zone1,14,22,1,0,171,136,1,11.54,534
Zone1,14,23,1,0,171,139,1,11.54,548
Zone1,15,0,0,0,171,136,1,11.54,475
Zone1,15,1,0,0,213,147,0,14.38,566
Zone1,15,2,0,0,216,168,2,14.58,535
Zone1,15,3,0,0,220,139,0,14.85,567
Zone1,15,4,0,0,222,169,2,14.99,528
Zone1,15,5,0,0,155,114,2,10.46,476
Zone1,15,6,0,0,193,156,1,13.03,559
Zone1,15,7,0,1,297,218,0,20.05,543
Zone1,15,8,0,1,292,222,0,19.71,607
Zone1,15,9,0,1,293,188,1,19.78,580
Zone1,15,10,0,1,334,238,0,22.55,553
Zone1,15,11,0,0,195,141,1,13.16,496
Zone1,15,12,0,0,164,131,2,11.07,548
Zone1,15,13,0,0,161,140,1,10.87,523
Zone1,15,14,0,0,166,131,0,11.21,492
Zone1,15,15,0,0,212,170,0,14.31,481
Zone1,15,16,0,0,216,151,1,14.58,503
Zone1,15,17,0,1,553,365,0,37.33,663
Zone1,15,18,0,1,598,370,2,40.37,722
Zone1,15,19,0,1,569,374,2,38.41,768
Zone1,15,20,0,1,599,390,0,40.43,709
Zone1,15,21,0,0,188,151,0,12.69,513
Zone1,15,22,0,0,181,132,2,12.22,544
Zone1,15,23,0,0,162,112,1,10.94,539
Zone1,16,0,0,0,193,161,0,13.03,516
Zone1,16,1,0,0,197,132,0,13.3,485
Zone1,16,2,0,0,184,120,0,12.42,476
Zone1,16,3,0,0,205,164,0,13.84,484
Zone1,16,4,0,0,217,140,0,14.65,559
Zone1,16,5,0,0,206,147,2,13.91,566
Zone1,16,6,0,0,222,141,1,14.99,553
Zone1,16,7,0,1,355,234,2,23.96,616
Zone1,16,8,0,1,317,216,2,21.4,619
Zone1,16,9,0,1,293,221,2,19.78,568
Zone1,16,10,0,1,344,219,0,23.22,644
Zone1,16,11,0,0,178,153,0,12.02,512
Zone1,16,12,0,0,177,132,0,11.95,457
Zone1,16,13,0,0,212,147,1,14.31,527
Zone1,16,14,0,0,189,126,0,12.76,504
Zone1,16,15,0,0,224,177,2,15.12,570
Zone1,16,16,0,0,166,108,0,11.21,528
Zone1,16,17,0,1,583,364,0,39.35,730
Zone1,16,18,0,1,558,363,1,37.67,666
Zone1,16,19,0,1,556,355,0,37.53,670
Zone1,16,20,0,1,561,364,1,37.87,742
Zone1,16,21,0,0,210,172,1,14.18,544
Zone1,16,22,0,0,221,140,0,14.92,549
Zone1,16,23,0,0,162,111,2,10.94,536
Zone1,17,0,0,0,188,132,0,12.69,507
Zone1,17,1,0,0,171,115,2,11.54,515
Zone1,17,2,0,0,154,128,0,10.4,528
Zone1,17,3,0,0,197,163,1,13.3,511
Zone1,17,4,0,0,165,108,0,11.14,535
Zone1,17,5,0,0,164,135,0,11.07,536
Zone1,17,6,0,0,172,143,2,11.61,542
Zone1,17,7,0,1,355,234,2,23.96,645
Zone1,17,8,0,1,328,209,2,22.14,619
Zone1,17,9,0,1,298,192,1,20.12,577
Zone1,17,10,0,1,358,232,1,24.17,594
Zone1,17,11,0,0,163,118,1,11.0,505
Zone1,17,12,0,0,191,136,1,12.89,509
Zone1,17,13,0,0,168,110,1,11.34,454
Zone1,17,14,0,0,201,152,2,13.57,483
Zone1,17,15,0,0,198,146,2,13.37,502
Zone1,17,16,0,0,216,166,0,14.58,572
Zone1,17,17,0,1,596,387,0,40.23,710
Zone1,17,18,0,1,535,339,1,36.11,659
Zone1,17,19,0,1,574,353,0,38.75,760
Zone1,17,20,0,1,535,332,0,36.11,711
Zone1,17,21,0,0,167,133,0,11.27,512
Zone1,17,22,0,0,199,149,1,13.43,503
Zone1,17,23,0,0,204,157,0,13.77,536
Zone1,18,0,0,0,175,126,0,11.81,476
Zone1,18,1,0,0,177,125,2,11.95,520
Zone1,18,2,0,0,202,133,1,13.64,531
Zone1,18,3,0,0,196,143,2,13.23,518
Zone1,18,4,0,0,216,156,0,14.58,497
Zone1,18,5,0,0,196,142,1,13.23,509
Zone1,18,6,0,0,184,155,2,12.42,491
Zone1,18,7,0,1,310,196,1,20.93,556
Zone1,18,8,0,1,351,249,2,23.69,599
Zone1,18,9,0,1,353,240,1,23.83,573
Zone1,18,10,0,1,308,211,2,20.79,565
Zone1,18,11,0,0,175,135,1,11.81,513
Zone1,18,12,0,0,167,134,1,11.27,547
Zone1,18,13,0,0,211,137,0,14.24,489
Zone1,18,14,0,0,210,164,0,14.18,494
Zone1,18,15,0,0,181,130,0,12.22,464
Zone1,18,16,0,0,174,135,2,11.75,465
Zone1,18,17,0,1,542,362,2,36.59,675
Zone1,18,18,0,1,553,375,1,37.33,681
Zone1,18,19,0,1,597,385,0,40.3,764
Zone1,18,20,0,1,583,370,1,39.35,727
Zone1,18,21,0,0,157,131,2,10.6,486
Zone1,18,22,0,0,185,155,2,12.49,461
Zone1,18,23,0,0,208,160,0,14.04,513
Zone1,19,0,0,0,172,124,2,11.61,513
Zone1,19,1,0,0,202,139,2,13.64,476
Zone1,19,2,0,0,178,144,0,12.02,538
Zone1,19,3,0,0,154,99,0,10.4,506
Zone1,19,4,0,0,170,120,1,11.48,473
Zone1,19,5,0,0,179,134,1,12.08,521
Zone1,19,6,0,0,208,162,2,14.04,572
Zone1,19,7,0,1,356,230,1,24.03,636
Zone1,19,8,0,1,310,221,2,20.93,617
Zone1,19,9,0,1,323,221,1,21.8,587
Zone1,19,10,0,1,328,243,0,22.14,573
Zone1,19,11,0,0,185,127,2,12.49,490
Zone1,19,12,0,0,171,133,1,11.54,549
Zone1,19,13,0,0,161,129,2,10.87,510
Zone1,19,14,0,0,193,145,0,13.03,559
Zone1,19,15,0,0,208,155,0,14.04,497
Zone1,19,16,0,0,186,151,2,12.56,492
Zone1,19,17,0,1,574,384,1,38.75,722
Zone1,19,18,0,1,579,374,0,39.08,723
Zone1,19,19,0,1,597,372,1,40.3,703
Zone1,19,20,0,1,542,361,1,36.59,733
Zone1,19,21,0,0,220,171,0,14.85,570
Zone1,19,22,0,0,164,128,2,11.07,533
Zone1,19,23,0,0,164,143,2,11.07,469
Zone1,20,0,1,0,138,105,0,9.32,498
Zone1,20,1,1,0,130,121,0,8.78,511
Zone1,20,2,1,0,149,105,0,10.06,524
Zone1,20,3,1,0,154,138,2,10.4,478
Zone1,20,4,1,0,146,109,2,9.86,508
Zone1,20,5,1,0,149,130,0,10.06,485
Zone1,20,6,1,0,142,120,1,9.59,495
Zone1,20,7,1,1,292,200,0,19.71,544
Zone1,20,8,1,1,266,200,1,17.96,515
Zone1,20,9,1,1,302,207,1,20.39,587
Zone1,20,10,1,1,314,233,2,21.2,564
Zone1,20,11,1,0,124,121,0,8.37,521
Zone1,20,12,1,0,144,115,0,9.72,493
Zone1,20,13,1,0,136,125,2,9.18,467
Zone1,20,14,1,0,164,135,1,11.07,523
Zone1,20,15,1,0,157,109,2,10.6,517
Zone1,20,16,1,0,141,93,0,9.52,471
Zone1,20,17,1,1,497,339,1,33.55,713
Zone1,20,18,1,1,536,349,1,36.18,714
Zone1,20,19,1,1,494,303,2,33.35,709
Zone1,20,20,1,1,546,369,1,36.86,750
Zone1,20,21,1,0,160,115,1,10.8,536
Zone1,20,22,1,0,137,90,1,9.25,450
Zone1,20,23,1,0,173,112,1,11.68,508
Zone1,21,0,1,0,167,138,2,11.27,483
Zone1,21,1,1,0,138,127,2,9.32,456
Zone1,21,2,1,0,158,141,1,10.67,451
Zone1,21,3,1,0,164,122,2,11.07,515
Zone1,21,4,1,0,157,127,2,10.6,472
Zone1,21,5,1,0,170,133,2,11.48,540
Zone1,21,6,1,0,153,99,0,10.33,448
Zone1,21,7,1,1,314,195,2,21.2,557
Zone1,21,8,1,1,286,189,1,19.31,602
Zone1,21,9,1,1,249,188,1,16.81,538
Zone1,21,10,1,1,281,180,0,18.97,532
Zone1,21,11,1,0,117,113,2,7.9,455
Zone1,21,12,1,0,138,127,2,9.32,468
Zone1,21,13,1,0,135,122,0,9.11,501
Zone1,21,14,1,0,133,92,1,8.98,483
Zone1,21,15,1,0,152,110,2,10.26,449
Zone1,21,16,1,0,181,149,1,12.22,472
Zone1,21,17,1,1,505,334,1,34.09,707
Zone1,21,18,1,1,549,367,0,37.06,674
Zone1,21,19,1,1,494,332,0,33.35,686
Zone1,21,20,1,1,539,362,2,36.38,742
Zone1,21,21,1,0,129,121,1,8.71,466
Zone1,21,22,1,0,182,122,0,12.29,476
Zone1,21,23,1,0,131,106,2,8.84,528
Zone1,22,0,0,0,182,135,2,12.29,549
Zone1,22,1,0,0,172,134,2,11.61,452
Zone1,22,2,0,0,164,136,2,11.07,452
Zone1,22,3,0,0,172,125,0,11.61,539
Zone1,22,4,0,0,186,125,1,12.56,492
Zone1,22,5,0,0,203,155,2,13.7,522
Zone1,22,6,0,0,215,166,2,14.51,490
Zone1,22,7,0,1,300,199,0,20.25,550
Zone1,22,8,0,1,334,218,2,22.55,549
Zone1,22,9,0,1,357,240,2,24.1,590
Zone1,22,10,0,1,325,239,2,21.94,547
Zone1,22,11,0,0,194,130,2,13.1,534
Zone1,22,12,0,0,221,153,2,14.92,558
Zone1,22,13,0,0,211,133,2,14.24,548
Zone1,22,14,0,0,186,135,0,12.56,511
Zone1,22,15,0,0,184,131,0,12.42,463
Zone1,22,16,0,0,213,141,0,14.38,517
Zone1,22,17,0,1,578,385,2,39.02,759
Zone1,22,18,0,1,568,357,2,38.34,736
Zone1,22,19,0,1,567,384,0,38.27,758
Zone1,22,20,0,1,561,361,2,37.87,707
Zone1,22,21,0,0,207,166,2,13.97,471
Zone1,22,22,0,0,173,138,2,11.68,537
Zone1,22,23,0,0,159,128,1,10.73,515
Zone1,23,0,0,0,173,112,2,11.68,456
Zone1,23,1,0,0,166,132,0,11.21,505
Zone1,23,2,0,0,193,160,1,13.03,467
Zone1,23,3,0,0,160,124,1,10.8,474
Zone1,23,4,0,0,201,133,2,13.57,535
Zone1,23,5,0,0,213,160,0,14.38,505
Zone1,23,6,0,0,188,141,0,12.69,506
Zone1,23,7,0,1,357,239,0,24.1,583
Zone1,23,8,0,1,328,238,2,22.14,607
Zone1,23,9,0,1,295,191,2,19.91,607
Zone1,23,10,0,1,293,192,0,19.78,564
Zone1,23,11,0,0,171,127,2,11.54,492
Zone1,23,12,0,0,167,127,1,11.27,458
Zone1,23,13,0,0,176,119,1,11.88,497
Zone1,23,14,0,0,224,154,1,15.12,519
Zone1,23,15,0,0,196,154,2,13.23,471
Zone1,23,16,0,0,222,170,1,14.99,522
Zone1,23,17,0,1,585,395,0,39.49,699
Zone1,23,18,0,1,594,387,0,40.1,766
Zone1,23,19,0,1,599,403,0,40.43,772
Zone1,23,20,0,1,577,373,1,38.95,730
Zone1,23,21,0,0,179,141,0,12.08,510
Zone1,23,22,0,0,194,127,2,13.1,517
Zone1,23,23,0,0,179,133,1,12.08,519
Zone1,24,0,0,0,207,142,2,13.97,498
Zone1,24,1,0,0,199,152,2,13.43,523
Zone1,24,2,0,0,200,128,0,13.5,495
Zone1,24,3,0,0,166,140,2,11.21,492
